,Country Name,Country Code,iso_a3,Year,Curr Acc Balance
0,Australia,AUS,AUS,2000,26343.0767
1,Brazil,BRA,BRA,2000,9060.788667
2,United Kingdom,GBR,GBR,2000,26472.19371
3,Canada,CAN,CAN,2000,29362.08416
4,Chile,CHL,CHL,2000,9538.075278
5,China,CHN,CHN,2000,2920.560791
6,Czech Republic,CZE,CZE,2000,16235.48063
7,Denmark,DNK,DNK,2000,28658.12496
8,Euro area,EUZ,EUZ,2000,25314.40936
9,Hungary,HUN,HUN,2000,11853.17852
10,Indonesia,IDN,IDN,2000,4743.944717
11,Japan,JPN,JPN,2000,27287.27019
12,Mexico,MEX,MEX,2000,11089.48999
13,New Zealand,NZL,NZL,2000,21513.70277
14,Poland,POL,POL,2000,10672.12109
15,Russian Federation,RUS,RUS,2000,6825.391511
16,South Africa,ZAF,ZAF,2000,8498.518594
17,"Korea, Rep.",KOR,KOR,2000,18538.83553
18,Sweden,SWE,SWE,2000,29618.27926
19,Switzerland,CHE,CHE,2000,36772.69462
20,United States,USA,USA,2000,36334.90878
21,Australia,AUS,AUS,2001,27439.82779
22,Brazil,BRA,BRA,2001,9260.768381
23,United Kingdom,GBR,GBR,2001,27807.16932
24,Canada,CAN,CAN,2001,30230.80297
25,Chile,CHL,CHL,2001,9962.27425
26,China,CHN,CHN,2001,3210.009396
27,Czech Republic,CZE,CZE,2001,17621.05413
28,Denmark,DNK,DNK,2001,29437.31034
29,Euro area,EUZ,EUZ,2001,26494.36991
30,Hungary,HUN,HUN,2001,13207.92217
31,Indonesia,IDN,IDN,2001,4956.361105
32,Japan,JPN,JPN,2001,27942.34665
33,Mexico,MEX,MEX,2001,11136.02191
34,New Zealand,NZL,NZL,2001,22508.93671
35,Poland,POL,POL,2001,11119.71515
36,Russian Federation,RUS,RUS,2001,7361.363679
37,South Africa,ZAF,ZAF,2001,8801.288929
38,"Korea, Rep.",KOR,KOR,2001,19724.42595
39,Sweden,SWE,SWE,2001,29927.59927
40,Switzerland,CHE,CHE,2001,37896.69696
41,United States,USA,USA,2001,37133.24281
42,Australia,AUS,AUS,2002,28768.72863
43,Brazil,BRA,BRA,2002,9568.066027
44,United Kingdom,GBR,GBR,2002,29062.12387
45,Canada,CAN,CAN,2002,30963.053
46,Chile,CHL,CHL,2002,10319.94536
