,year,iso_a3,country_name,Year,local_price,dollar_ex,dollar_price,big_mac_index,relative_PPP
0,2000,AUS,Australia,2000,2.59,1.68,1.5416666666666667,-38.57901726427622,1.0218669785879062
1,2000,BRA,Brazil,2000,2.95,1.79,1.6480446927374302,-34.34084889492309,1.2646481857820009
2,2000,CAN,Canada,2000,2.85,1.47,1.9387755102040818,-22.75794780063418,0.885974224400504
3,2000,CHE,Switzerland,2000,5.9,1.7,3.4705882352941178,38.2704476212796,2.2940621007609847
4,2000,CHL,Chile,2000,1260.0,514.0,2.4513618677042803,-2.336180569550572,92.4668116273747
5,2000,CHN,China,2000,9.9,8.28,1.1956521739130437,-52.3644552225879,7.920243699806148
6,2000,CZE,Czech Republic,2000,54.37,39.1,1.3905370843989768,-44.60011615940331,34.319792003369194
7,2000,DNK,Denmark,2000,24.75,8.04,3.0783582089552244,22.643753344829666,17.372057547931686
8,2000,GBR,Britain,2000,1.9,0.632911392,3.00200000192128,19.60159370204304,-1.0814524062034152
9,2000,HUN,Hungary,2000,339.0,279.0,1.2150537634408602,-51.59148352825258,76.94417909716609
10,2000,IDN,Indonesia,2000,14500.0,7945.0,1.8250471994965387,-27.288956195357017,99.30256816986646
11,2000,JPN,Japan,2000,294.0,106.0,2.7735849056603774,10.501390663760057,73.91533378028925
12,2000,KOR,South Korea,2000,3000.0,1108.0,2.707581227436823,7.871762049275821,96.68685221846978
13,2000,MEX,Mexico,2000,20.9,9.41,2.221041445270988,-11.512293017092102,15.449924362885865
14,2000,NZL,New Zealand,2000,3.4,2.01,1.691542288557214,-32.607876949911784,1.6522801851477622
15,2000,POL,Poland,2000,5.5,4.3,1.2790697674418605,-49.04104512183822,4.000881737021933
16,2000,RUS,Russia,2000,39.5,28.5,1.3859649122807018,-44.78227441112741,27.321888951770106
17,2000,SWE,Sweden,2000,24.0,8.84,2.7149321266968327,8.16462656162682,17.16537731717997
18,2000,USA,United States,2000,2.51,1.0,2.51,0.0,0.0
19,2000,ZAF,South Africa,2000,9.0,6.72,1.3392857142857144,-46.64200341491177,7.028178243774574
20,2001,AUS,Australia,2001,3.0,1.98,1.5151515151515151,-40.348365545215934,1.4416004707266843
21,2001,BRA,Brazil,2001,3.6,2.19,1.6438356164383563,-35.28206234494661,1.888189559422436
22,2001,CAN,Canada,2001,3.33,1.56,2.1346153846153846,-15.960024227740766,1.1568611394412227
23,2001,CHE,Switzerland,2001,6.3,1.73,3.6416184971098264,43.3708069728278,2.500829259539204
24,2001,CHL,Chile,2001,1260.0,601.0,2.0965058236272878,-17.460400644594976,92.49290398355683
25,2001,CHN,China,2001,9.9,8.28,1.1956521739130437,-52.92707976720301,7.920243699806148
26,2001,CZE,Czech Republic,2001,56.0,39.0,1.435897435897436,-43.46860488592772,34.97698882314266
27,2001,DNK,Denmark,2001,24.75,8.46,2.9255319148936167,15.178421846205392,17.494563595275654
28,2001,GBR,Britain,2001,1.99,0.699300699,2.845700001223651,12.035433119041361,-0.8390038251040797
29,2001,HUN,Hungary,2001,399.0,303.0,1.316831683168317,-48.15623294612925,79.69602571479594
30,2001,IDN,Indonesia,2001,14700.0,10855.0,1.3542146476278212,-46.68446269181806,99.31517422535386
31,2001,JPN,Japan,2001,294.0,124.0,2.370967741935484,-6.654813309626617,74.01752087768133
32,2001,KOR,South Korea,2001,3000.0,1325.0,2.2641509433962264,-10.860199078888733,96.70115642118078
33,2001,MEX,Mexico,2001,21.9,9.29,2.357373519913886,-7.190018901028106,16.03168702221995
34,2001,NZL,New Zealand,2001,3.6,2.47,1.45748987854251,-42.61850871879882,2.068059962796805
35,2001,POL,Poland,2001,5.9,4.03,1.4640198511166254,-42.361423184384826,4.188838667500827
