"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGNLEND","TOT","PC_GDP","A","1970",-1.65680180291736,
"AUS","GGNLEND","TOT","PC_GDP","A","1971",-1.62716581380734,
"AUS","GGNLEND","TOT","PC_GDP","A","1972",-2.09508137504766,
"AUS","GGNLEND","TOT","PC_GDP","A","1973",-0.959022095604068,
"AUS","GGNLEND","TOT","PC_GDP","A","1974",-3.59863630624185,
"AUS","GGNLEND","TOT","PC_GDP","A","1975",-4.45686460294806,
"AUS","GGNLEND","TOT","PC_GDP","A","1976",-4.32998046469097,
"AUS","GGNLEND","TOT","PC_GDP","A","1977",-5.2315070318001,
"AUS","GGNLEND","TOT","PC_GDP","A","1978",-4.9179637845255,
"AUS","GGNLEND","TOT","PC_GDP","A","1979",-3.308479510449,
"AUS","GGNLEND","TOT","PC_GDP","A","1980",-3.48796010760449,
"AUS","GGNLEND","TOT","PC_GDP","A","1981",-3.88535502538129,
"AUS","GGNLEND","TOT","PC_GDP","A","1982",-5.8591626601084,
"AUS","GGNLEND","TOT","PC_GDP","A","1983",-6.24140415220381,
"AUS","GGNLEND","TOT","PC_GDP","A","1984",-5.95461612308529,
"AUS","GGNLEND","TOT","PC_GDP","A","1985",-5.36718396403722,
"AUS","GGNLEND","TOT","PC_GDP","A","1986",-3.69293764979631,
"AUS","GGNLEND","TOT","PC_GDP","A","1987",-1.9491507139797,
"AUS","GGNLEND","TOT","PC_GDP","A","1988",-1.20631816268047,
"AUS","GGNLEND","TOT","PC_GDP","A","1989",-2.33878522575877,
"AUS","GGNLEND","TOT","PC_GDP","A","1990",-3.50068515748989,
"AUS","GGNLEND","TOT","PC_GDP","A","1991",-5.99212706333792,
"AUS","GGNLEND","TOT","PC_GDP","A","1992",-6.33675357594695,
"AUS","GGNLEND","TOT","PC_GDP","A","1993",-4.58254932300083,
"AUS","GGNLEND","TOT","PC_GDP","A","1994",-4.21828866882337,
"AUS","GGNLEND","TOT","PC_GDP","A","1995",-3.01322649233121,
"AUS","GGNLEND","TOT","PC_GDP","A","1996",-1.22515312166858,
"AUS","GGNLEND","TOT","PC_GDP","A","1997",0.184769428811124,
"AUS","GGNLEND","TOT","PC_GDP","A","1998",0.630350896406001,
"AUS","GGNLEND","TOT","PC_GDP","A","1999",1.95459724778684,
"AUS","GGNLEND","TOT","PC_GDP","A","2000",-1.29277943331186,
"AUS","GGNLEND","TOT","PC_GDP","A","2001",-0.74340340321793,
"AUS","GGNLEND","TOT","PC_GDP","A","2002",0.706782470000374,
"AUS","GGNLEND","TOT","PC_GDP","A","2003",0.794190376363078,
"AUS","GGNLEND","TOT","PC_GDP","A","2004",0.927763579276846,
"AUS","GGNLEND","TOT","PC_GDP","A","2005",1.59920115059954,
"AUS","GGNLEND","TOT","PC_GDP","A","2006",1.58161890918586,
"AUS","GGNLEND","TOT","PC_GDP","A","2007",0.65579083929179,
"AUS","GGNLEND","TOT","PC_GDP","A","2008",-3.84071630537229,
"AUS","GGNLEND","TOT","PC_GDP","A","2009",-5.64459058469918,
"AUS","GGNLEND","TOT","PC_GDP","A","2010",-4.56111793655115,
"AUS","GGNLEND","TOT","PC_GDP","A","2011",-4.61486967630437,
"AUS","GGNLEND","TOT","PC_GDP","A","2012",-2.84701006343177,
"AUS","GGNLEND","TOT","PC_GDP","A","2013",-2.78301689090071,
"AUS","GGNLEND","TOT","PC_GDP","A","2014",-2.23729937093667,
"AUS","GGNLEND","TOT","PC_GDP","A","2015",-2.22284019728016,
"AUS","GGNLEND","TOT","PC_GDP","A","2016",-1.58186656844656,
"AUS","GGNLEND","TOT","PC_GDP","A","2017",-1.20991065392041,
"AUS","GGNLEND","TOT","PC_GDP","A","2018",-1.43025380376811,
"AUS","GGNLEND","TOT","PC_GDP","A","2019",-7.14298695621006,
"AUS","GGNLEND","TOT","PC_GDP","A","2020",-9.58263385276317,
"AUT","GGNLEND","TOT","PC_GDP","A","1995",-6.13397127832002,
"AUT","GGNLEND","TOT","PC_GDP","A","1996",-4.50361584758439,
"AUT","GGNLEND","TOT","PC_GDP","A","1997",-2.57579119873407,
"AUT","GGNLEND","TOT","PC_GDP","A","1998",-2.69622684089122,
"AUT","GGNLEND","TOT","PC_GDP","A","1999",-2.59588665384224,
"AUT","GGNLEND","TOT","PC_GDP","A","2000",-2.40470232925518,
"AUT","GGNLEND","TOT","PC_GDP","A","2001",-0.661575545058186,
"AUT","GGNLEND","TOT","PC_GDP","A","2002",-1.38117492289023,
"AUT","GGNLEND","TOT","PC_GDP","A","2003",-1.78642545239967,
"AUT","GGNLEND","TOT","PC_GDP","A","2004",-4.80498601475414,
"AUT","GGNLEND","TOT","PC_GDP","A","2005",-2.50834960050974,
"AUT","GGNLEND","TOT","PC_GDP","A","2006",-2.53544812656201,
"AUT","GGNLEND","TOT","PC_GDP","A","2007",-1.3546226842878,
"AUT","GGNLEND","TOT","PC_GDP","A","2008",-1.49526533239112,
"AUT","GGNLEND","TOT","PC_GDP","A","2009",-5.32970620254501,
"AUT","GGNLEND","TOT","PC_GDP","A","2010",-4.4412670586594,
"AUT","GGNLEND","TOT","PC_GDP","A","2011",-2.55356599419093,
"AUT","GGNLEND","TOT","PC_GDP","A","2012",-2.1890705954037,
"AUT","GGNLEND","TOT","PC_GDP","A","2013",-1.95007752148589,
"AUT","GGNLEND","TOT","PC_GDP","A","2014",-2.72914820817187,
"AUT","GGNLEND","TOT","PC_GDP","A","2015",-1.00998860688189,
"AUT","GGNLEND","TOT","PC_GDP","A","2016",-1.53459116331167,
"AUT","GGNLEND","TOT","PC_GDP","A","2017",-0.816118350278008,
"AUT","GGNLEND","TOT","PC_GDP","A","2018",0.170080245402498,
"AUT","GGNLEND","TOT","PC_GDP","A","2019",0.610280969536666,
"AUT","GGNLEND","TOT","PC_GDP","A","2020",-8.04520324445371,
"AUT","GGNLEND","TOT","PC_GDP","A","2021",-5.91767720801944,
"BEL","GGNLEND","TOT","PC_GDP","A","1995",-4.50835696480245,
"BEL","GGNLEND","TOT","PC_GDP","A","1996",-4.00252745032249,
"BEL","GGNLEND","TOT","PC_GDP","A","1997",-2.15125735436845,
"BEL","GGNLEND","TOT","PC_GDP","A","1998",-1.02487363717728,
"BEL","GGNLEND","TOT","PC_GDP","A","1999",-0.648349453339474,
"BEL","GGNLEND","TOT","PC_GDP","A","2000",-0.079297470437997,
"BEL","GGNLEND","TOT","PC_GDP","A","2001",0.232848556887494,
"BEL","GGNLEND","TOT","PC_GDP","A","2002",-0.043695305389563,
"BEL","GGNLEND","TOT","PC_GDP","A","2003",-1.8641523014564,
"BEL","GGNLEND","TOT","PC_GDP","A","2004",-0.238697094566163,
"BEL","GGNLEND","TOT","PC_GDP","A","2005",-2.71499327823464,
"BEL","GGNLEND","TOT","PC_GDP","A","2006",0.239580626261912,
"BEL","GGNLEND","TOT","PC_GDP","A","2007",0.066439884418465,
"BEL","GGNLEND","TOT","PC_GDP","A","2008",-1.09534486959375,
"BEL","GGNLEND","TOT","PC_GDP","A","2009",-5.4309890992886,
"BEL","GGNLEND","TOT","PC_GDP","A","2010",-4.08770609470009,
"BEL","GGNLEND","TOT","PC_GDP","A","2011",-4.33007826734098,
"BEL","GGNLEND","TOT","PC_GDP","A","2012",-4.31838232799818,
"BEL","GGNLEND","TOT","PC_GDP","A","2013",-3.12937792710242,
"BEL","GGNLEND","TOT","PC_GDP","A","2014",-3.0556821743147,
"BEL","GGNLEND","TOT","PC_GDP","A","2015",-2.41367079640241,
"BEL","GGNLEND","TOT","PC_GDP","A","2016",-2.36311261975241,
"BEL","GGNLEND","TOT","PC_GDP","A","2017",-0.683833123506769,
"BEL","GGNLEND","TOT","PC_GDP","A","2018",-0.869783132362527,
"BEL","GGNLEND","TOT","PC_GDP","A","2019",-1.95228786282337,
"BEL","GGNLEND","TOT","PC_GDP","A","2020",-9.04706594574712,"E"
"BEL","GGNLEND","TOT","PC_GDP","A","2021",-5.51382488206687,"E"
"CAN","GGNLEND","TOT","PC_GDP","A","1981",-2.89229499562925,
"CAN","GGNLEND","TOT","PC_GDP","A","1982",-6.89832835713237,
"CAN","GGNLEND","TOT","PC_GDP","A","1983",-7.99803472927684,
"CAN","GGNLEND","TOT","PC_GDP","A","1984",-7.94006744793132,
"CAN","GGNLEND","TOT","PC_GDP","A","1985",-8.75732710433637,
"CAN","GGNLEND","TOT","PC_GDP","A","1986",-7.32164897556159,
"CAN","GGNLEND","TOT","PC_GDP","A","1987",-5.74576554490751,
"CAN","GGNLEND","TOT","PC_GDP","A","1988",-4.51096995664339,
"CAN","GGNLEND","TOT","PC_GDP","A","1989",-4.71828332928814,
"CAN","GGNLEND","TOT","PC_GDP","A","1990",-5.91142212592074,
"CAN","GGNLEND","TOT","PC_GDP","A","1991",-8.35939826696097,
"CAN","GGNLEND","TOT","PC_GDP","A","1992",-9.19914926312156,
"CAN","GGNLEND","TOT","PC_GDP","A","1993",-8.93476494470823,
